#{"t_start": 1749108014.0037775, "env_id": "None"}
r,l,t
9681.85968,2007,4.149621
1488.44104,2007,6.276698
663.700439,2007,8.511063
927.470215,2007,10.705741
2046.06958,2007,14.110347
2046.06958,2007,15.296561
2046.06958,2007,16.48801
2046.06958,2007,17.670949
2046.06958,2007,18.861183
3132.60022,2007,21.127455
2082.840454,2007,23.423755
2223.489868,2007,25.67653
2131.830811,2007,27.999332
2307.100586,2007,31.610659
2307.100586,2007,32.887084
2307.100586,2007,34.107654
2307.100586,2007,35.355905
2307.100586,2007,36.597609
2505.760132,2007,38.904763
1769.310303,2007,41.220957
1614.610962,2007,43.51465
1331.561035,2007,45.808691
413.359741,2007,49.260112
413.359741,2007,50.388369
413.359741,2007,51.497421
413.359741,2007,52.63066
413.359741,2007,53.760169
2900.961548,2007,56.333858
2793.349976,2007,58.774927
2295.0,2007,61.335068
2508.249634,2007,64.163223
671.030396,2007,68.03682
671.030396,2007,69.16347
671.030396,2007,70.303306
671.030396,2007,71.427658
671.030396,2007,72.541814
