,store,item,date,sales
0,1,1,2013-01-31,328
1,1,1,2013-02-28,322
2,1,1,2013-03-31,477
3,1,1,2013-04-30,522
4,1,1,2013-05-31,531
5,1,1,2013-06-30,627
6,1,1,2013-07-31,661
7,1,1,2013-08-31,594
8,1,1,2013-09-30,519
9,1,1,2013-10-31,484
10,1,1,2013-11-30,572
11,1,1,2013-12-31,388
12,1,1,2014-01-31,435
13,1,1,2014-02-28,405
14,1,1,2014-03-31,549
15,1,1,2014-04-30,573
16,1,1,2014-05-31,651
17,1,1,2014-06-30,710
18,1,1,2014-07-31,746
19,1,1,2014-08-31,671
20,1,1,2014-09-30,566
21,1,1,2014-10-31,555
22,1,1,2014-11-30,619
23,1,1,2014-12-31,409
24,1,1,2015-01-31,428
25,1,1,2015-02-28,399
26,1,1,2015-03-31,552
27,1,1,2015-04-30,652
28,1,1,2015-05-31,711
29,1,1,2015-06-30,748
30,1,1,2015-07-31,842
31,1,1,2015-08-31,706
32,1,1,2015-09-30,678
33,1,1,2015-10-31,647
34,1,1,2015-11-30,684
35,1,1,2015-12-31,460
36,1,1,2016-01-31,449
37,1,1,2016-02-29,450
38,1,1,2016-03-31,589
39,1,1,2016-04-30,694
40,1,1,2016-05-31,782
41,1,1,2016-06-30,790
42,1,1,2016-07-31,903
43,1,1,2016-08-31,727
44,1,1,2016-09-30,709
45,1,1,2016-10-31,699
46,1,1,2016-11-30,662
47,1,1,2016-12-31,496
48,1,1,2017-01-31,485
49,1,1,2017-02-28,487
50,1,1,2017-03-31,561
51,1,1,2017-04-30,677
52,1,1,2017-05-31,773
53,1,1,2017-06-30,850
54,1,1,2017-07-31,873
55,1,1,2017-08-31,794
56,1,1,2017-09-30,736
57,1,1,2017-10-31,660
58,1,1,2017-11-30,668
59,1,1,2017-12-31,533
60,1,2,2013-01-31,911
61,1,2,2013-02-28,873
62,1,2,2013-03-31,1299
63,1,2,2013-04-30,1316
64,1,2,2013-05-31,1527
65,1,2,2013-06-30,1643
66,1,2,2013-07-31,1743
67,1,2,2013-08-31,1591
68,1,2,2013-09-30,1353
69,1,2,2013-10-31,1330
70,1,2,2013-11-30,1427
71,1,2,2013-12-31,1023
72,1,2,2014-01-31,1116
73,1,2,2014-02-28,1135
74,1,2,2014-03-31,1406
75,1,2,2014-04-30,1645
76,1,2,2014-05-31,1870
77,1,2,2014-06-30,1849
78,1,2,2014-07-31,2039
79,1,2,2014-08-31,1823
80,1,2,2014-09-30,1539
81,1,2,2014-10-31,1506
82,1,2,2014-11-30,1595
83,1,2,2014-12-31,1211
84,1,2,2015-01-31,1114
85,1,2,2015-02-28,1157
86,1,2,2015-03-31,1536
87,1,2,2015-04-30,1700
88,1,2,2015-05-31,1941
89,1,2,2015-06-30,1828
90,1,2,2015-07-31,1967
91,1,2,2015-08-31,1915
92,1,2,2015-09-30,1625
93,1,2,2015-10-31,1622
94,1,2,2015-11-30,1680
95,1,2,2015-12-31,1227
96,1,2,2016-01-31,1248
97,1,2,2016-02-29,1270
98,1,2,2016-03-31,1628
99,1,2,2016-04-30,1791
100,1,2,2016-05-31,2003
101,1,2,2016-06-30,2062
102,1,2,2016-07-31,2387
103,1,2,2016-08-31,2016
104,1,2,2016-09-30,1807
105,1,2,2016-10-31,1806
106,1,2,2016-11-30,1789
107,1,2,2016-12-31,1338
108,1,2,2017-01-31,1202
109,1,2,2017-02-28,1196
110,1,2,2017-03-31,1592
111,1,2,2017-04-30,1951
112,1,2,2017-05-31,2101
113,1,2,2017-06-30,2214
114,1,2,2017-07-31,2370
115,1,2,2017-08-31,2089
116,1,2,2017-09-30,1923
117,1,2,2017-10-31,1748
118,1,2,2017-11-30,1962
119,1,2,2017-12-31,1475
120,1,3,2013-01-31,547
121,1,3,2013-02-28,597
122,1,3,2013-03-31,789
123,1,3,2013-04-30,853
124,1,3,2013-05-31,993
125,1,3,2013-06-30,996
126,1,3,2013-07-31,1105
127,1,3,2013-08-31,996
128,1,3,2013-09-30,891
129,1,3,2013-10-31,776
130,1,3,2013-11-30,900
131,1,3,2013-12-31,657
132,1,3,2014-01-31,654
133,1,3,2014-02-28,674
134,1,3,2014-03-31,885
135,1,3,2014-04-30,973
136,1,3,2014-05-31,1168
137,1,3,2014-06-30,1129
138,1,3,2014-07-31,1204
139,1,3,2014-08-31,1116
140,1,3,2014-09-30,971
141,1,3,2014-10-31,981
142,1,3,2014-11-30,1020
143,1,3,2014-12-31,729
144,1,3,2015-01-31,719
145,1,3,2015-02-28,670
146,1,3,2015-03-31,908
147,1,3,2015-04-30,1058
148,1,3,2015-05-31,1236
149,1,3,2015-06-30,1215
150,1,3,2015-07-31,1325
151,1,3,2015-08-31,1178
152,1,3,2015-09-30,1112
153,1,3,2015-10-31,1041
154,1,3,2015-11-30,1059
155,1,3,2015-12-31,750
156,1,3,2016-01-31,795
157,1,3,2016-02-29,791
158,1,3,2016-03-31,1001
159,1,3,2016-04-30,1113
160,1,3,2016-05-31,1297
161,1,3,2016-06-30,1276
162,1,3,2016-07-31,1443
163,1,3,2016-08-31,1197
164,1,3,2016-09-30,1163
165,1,3,2016-10-31,1076
166,1,3,2016-11-30,1134
167,1,3,2016-12-31,831
168,1,3,2017-01-31,788
169,1,3,2017-02-28,777
170,1,3,2017-03-31,1023
171,1,3,2017-04-30,1207
172,1,3,2017-05-31,1387
173,1,3,2017-06-30,1356
174,1,3,2017-07-31,1501
175,1,3,2017-08-31,1278
176,1,3,2017-09-30,1200
177,1,3,2017-10-31,1100
178,1,3,2017-11-30,1156
179,1,3,2017-12-31,873
180,1,4,2013-01-31,346
181,1,4,2013-02-28,340
182,1,4,2013-03-31,467
183,1,4,2013-04-30,514
184,1,4,2013-05-31,632
185,1,4,2013-06-30,599
186,1,4,2013-07-31,626
187,1,4,2013-08-31,580
188,1,4,2013-09-30,554
189,1,4,2013-10-31,475
190,1,4,2013-11-30,519
191,1,4,2013-12-31,393
192,1,4,2014-01-31,366
193,1,4,2014-02-28,415
194,1,4,2014-03-31,524
195,1,4,2014-04-30,631
196,1,4,2014-05-31,645
197,1,4,2014-06-30,693
198,1,4,2014-07-31,791
199,1,4,2014-08-31,705
200,1,4,2014-09-30,605
201,1,4,2014-10-31,541
202,1,4,2014-11-30,640
203,1,4,2014-12-31,474
204,1,4,2015-01-31,454
205,1,4,2015-02-28,407
206,1,4,2015-03-31,552
207,1,4,2015-04-30,666
208,1,4,2015-05-31,732
209,1,4,2015-06-30,686
210,1,4,2015-07-31,783
211,1,4,2015-08-31,691
212,1,4,2015-09-30,650
213,1,4,2015-10-31,604
214,1,4,2015-11-30,605
215,1,4,2015-12-31,461
216,1,4,2016-01-31,447
217,1,4,2016-02-29,491
218,1,4,2016-03-31,594
219,1,4,2016-04-30,706
220,1,4,2016-05-31,779
221,1,4,2016-06-30,810
222,1,4,2016-07-31,856
223,1,4,2016-08-31,739
224,1,4,2016-09-30,689
225,1,4,2016-10-31,687
226,1,4,2016-11-30,643
227,1,4,2016-12-31,555
228,1,4,2017-01-31,488
229,1,4,2017-02-28,464
230,1,4,2017-03-31,622
231,1,4,2017-04-30,724
232,1,4,2017-05-31,742
233,1,4,2017-06-30,814
234,1,4,2017-07-31,917
235,1,4,2017-08-31,780
236,1,4,2017-09-30,649
237,1,4,2017-10-31,680
238,1,4,2017-11-30,701
239,1,4,2017-12-31,497
240,1,5,2013-01-31,276
241,1,5,2013-02-28,276
242,1,5,2013-03-31,378
243,1,5,2013-04-30,417
244,1,5,2013-05-31,497
245,1,5,2013-06-30,497
246,1,5,2013-07-31,519
247,1,5,2013-08-31,508
248,1,5,2013-09-30,430
249,1,5,2013-10-31,426
250,1,5,2013-11-30,422
251,1,5,2013-12-31,356
252,1,5,2014-01-31,330
253,1,5,2014-02-28,314
254,1,5,2014-03-31,472
255,1,5,2014-04-30,516
256,1,5,2014-05-31,598
257,1,5,2014-06-30,565
258,1,5,2014-07-31,634
259,1,5,2014-08-31,589
260,1,5,2014-09-30,473
261,1,5,2014-10-31,465
262,1,5,2014-11-30,501
263,1,5,2014-12-31,343
264,1,5,2015-01-31,367
265,1,5,2015-02-28,335
266,1,5,2015-03-31,470
267,1,5,2015-04-30,495
268,1,5,2015-05-31,559
269,1,5,2015-06-30,614
270,1,5,2015-07-31,632
271,1,5,2015-08-31,616
272,1,5,2015-09-30,511
273,1,5,2015-10-31,486
274,1,5,2015-11-30,509
275,1,5,2015-12-31,380
276,1,5,2016-01-31,413
277,1,5,2016-02-29,417
278,1,5,2016-03-31,515
279,1,5,2016-04-30,581
280,1,5,2016-05-31,619
281,1,5,2016-06-30,643
282,1,5,2016-07-31,744
283,1,5,2016-08-31,655
284,1,5,2016-09-30,584
285,1,5,2016-10-31,565
286,1,5,2016-11-30,559
287,1,5,2016-12-31,440
288,1,5,2017-01-31,407
289,1,5,2017-02-28,432
290,1,5,2017-03-31,512
291,1,5,2017-04-30,633
292,1,5,2017-05-31,653
293,1,5,2017-06-30,686
294,1,5,2017-07-31,699
295,1,5,2017-08-31,637
296,1,5,2017-09-30,589
297,1,5,2017-10-31,565
298,1,5,2017-11-30,575
299,1,5,2017-12-31,436
300,1,6,2013-01-31,910
301,1,6,2013-02-28,895
302,1,6,2013-03-31,1233
303,1,6,2013-04-30,1432
304,1,6,2013-05-31,1567
305,1,6,2013-06-30,1620
306,1,6,2013-07-31,1755
307,1,6,2013-08-31,1573
308,1,6,2013-09-30,1413
309,1,6,2013-10-31,1371
310,1,6,2013-11-30,1382
311,1,6,2013-12-31,1031
312,1,6,2014-01-31,1042
313,1,6,2014-02-28,1089
314,1,6,2014-03-31,1460
315,1,6,2014-04-30,1611
316,1,6,2014-05-31,1763
317,1,6,2014-06-30,1811
318,1,6,2014-07-31,2041
319,1,6,2014-08-31,1808
320,1,6,2014-09-30,1599
321,1,6,2014-10-31,1519
322,1,6,2014-11-30,1604
323,1,6,2014-12-31,1151
324,1,6,2015-01-31,1091
325,1,6,2015-02-28,1116
326,1,6,2015-03-31,1464
327,1,6,2015-04-30,1623
328,1,6,2015-05-31,1939
329,1,6,2015-06-30,1852
330,1,6,2015-07-31,2055
331,1,6,2015-08-31,1823
332,1,6,2015-09-30,1675
333,1,6,2015-10-31,1594
334,1,6,2015-11-30,1590
335,1,6,2015-12-31,1228
336,1,6,2016-01-31,1245
337,1,6,2016-02-29,1302
338,1,6,2016-03-31,1706
339,1,6,2016-04-30,1829
340,1,6,2016-05-31,2021
341,1,6,2016-06-30,2018
342,1,6,2016-07-31,2379
343,1,6,2016-08-31,2047
344,1,6,2016-09-30,1836
345,1,6,2016-10-31,1809
346,1,6,2016-11-30,1801
347,1,6,2016-12-31,1382
348,1,6,2017-01-31,1283
349,1,6,2017-02-28,1265
350,1,6,2017-03-31,1732
351,1,6,2017-04-30,1927
352,1,6,2017-05-31,2053
353,1,6,2017-06-30,2047
354,1,6,2017-07-31,2369
355,1,6,2017-08-31,2092
356,1,6,2017-09-30,1838
357,1,6,2017-10-31,1773
358,1,6,2017-11-30,1921
359,1,6,2017-12-31,1484
360,1,7,2013-01-31,931
361,1,7,2013-02-28,941
362,1,7,2013-03-31,1291
363,1,7,2013-04-30,1386
364,1,7,2013-05-31,1626
365,1,7,2013-06-30,1573
366,1,7,2013-07-31,1709
367,1,7,2013-08-31,1562
368,1,7,2013-09-30,1416
369,1,7,2013-10-31,1401
370,1,7,2013-11-30,1422
371,1,7,2013-12-31,1035
372,1,7,2014-01-31,1076
373,1,7,2014-02-28,1004
374,1,7,2014-03-31,1363
375,1,7,2014-04-30,1588
376,1,7,2014-05-31,1793
377,1,7,2014-06-30,1819
378,1,7,2014-07-31,1976
379,1,7,2014-08-31,1824
380,1,7,2014-09-30,1592
381,1,7,2014-10-31,1506
382,1,7,2014-11-30,1581
383,1,7,2014-12-31,1121
384,1,7,2015-01-31,1086
385,1,7,2015-02-28,1111
386,1,7,2015-03-31,1452
387,1,7,2015-04-30,1726
388,1,7,2015-05-31,1930
389,1,7,2015-06-30,1938
390,1,7,2015-07-31,2132
391,1,7,2015-08-31,1881
392,1,7,2015-09-30,1590
393,1,7,2015-10-31,1665
394,1,7,2015-11-30,1665
395,1,7,2015-12-31,1231
396,1,7,2016-01-31,1167
397,1,7,2016-02-29,1228
398,1,7,2016-03-31,1662
399,1,7,2016-04-30,1883
400,1,7,2016-05-31,1978
401,1,7,2016-06-30,2067
402,1,7,2016-07-31,2303
403,1,7,2016-08-31,1944
404,1,7,2016-09-30,1778
405,1,7,2016-10-31,1763
406,1,7,2016-11-30,1801
407,1,7,2016-12-31,1298
408,1,7,2017-01-31,1221
409,1,7,2017-02-28,1246
410,1,7,2017-03-31,1630
411,1,7,2017-04-30,1852
412,1,7,2017-05-31,2056
413,1,7,2017-06-30,2222
414,1,7,2017-07-31,2354
415,1,7,2017-08-31,2017
416,1,7,2017-09-30,1903
417,1,7,2017-10-31,1823
418,1,7,2017-11-30,1857
419,1,7,2017-12-31,1387
420,1,8,2013-01-31,1233
421,1,8,2013-02-28,1231
422,1,8,2013-03-31,1636
423,1,8,2013-04-30,1857
424,1,8,2013-05-31,2102
425,1,8,2013-06-30,2092
426,1,8,2013-07-31,2201
427,1,8,2013-08-31,1975
428,1,8,2013-09-30,1868
429,1,8,2013-10-31,1734
430,1,8,2013-11-30,1848
431,1,8,2013-12-31,1335
432,1,8,2014-01-31,1402
433,1,8,2014-02-28,1460
434,1,8,2014-03-31,1832
435,1,8,2014-04-30,2103
436,1,8,2014-05-31,2264
437,1,8,2014-06-30,2460
438,1,8,2014-07-31,2578
439,1,8,2014-08-31,2301
440,1,8,2014-09-30,2128
441,1,8,2014-10-31,2060
442,1,8,2014-11-30,2191
443,1,8,2014-12-31,1500
444,1,8,2015-01-31,1495
445,1,8,2015-02-28,1443
446,1,8,2015-03-31,2003
447,1,8,2015-04-30,2179
448,1,8,2015-05-31,2335
449,1,8,2015-06-30,2524
450,1,8,2015-07-31,2702
451,1,8,2015-08-31,2455
452,1,8,2015-09-30,2199
453,1,8,2015-10-31,2109
454,1,8,2015-11-30,2162
455,1,8,2015-12-31,1694
456,1,8,2016-01-31,1602
457,1,8,2016-02-29,1673
458,1,8,2016-03-31,2172
459,1,8,2016-04-30,2428
460,1,8,2016-05-31,2611
461,1,8,2016-06-30,2678
462,1,8,2016-07-31,3032
463,1,8,2016-08-31,2587
464,1,8,2016-09-30,2317
